completeness_threshold,n,margin,real_mean,virtual_mean,bias_real_minus_virtual,ci90_low,ci90_high,p_tost,equivalent,metric,cluster_bootstrap_ci90_low,cluster_bootstrap_ci90_high,cluster_bootstrap_equivalent,robust_verdict
0.6,550,1.0,1.106797527867871,2.1146005765803277,-1.0078030487124567,-1.2186900002602894,-0.7969160971646241,0.5242950714569884,False,nocturnal_lbgi,-1.8840701272187452,-0.28294281602291704,False,Not equivalent
0.6,550,2.0,8.344007648429873,0.8741925509852856,7.469815097444589,7.1405191331317575,7.79911106175742,1.0,False,nocturnal_hbgi,6.6521162745391536,8.256944457193978,False,Not equivalent
0.6,550,1.0,1.2868757982798782,1.6898194020834376,-0.40294360380355937,-0.6695471489444752,-0.13634005866264354,0.00012336939070545228,True,dawn_lbgi,-1.7413099174646498,0.7063796474054755,False,Not robust
0.6,550,2.0,7.381669006636904,2.1125416997695914,5.269127306867312,4.94831229154965,5.589942322184974,1.0,False,dawn_hbgi,4.464499911483285,6.072778703201699,False,Not equivalent
0.7,482,1.0,1.068379410271887,2.0605671208700005,-0.9921877105981134,-1.220063163385787,-0.7643122578104397,0.4774836425206963,False,nocturnal_lbgi,-1.8659176165664462,-0.2907880950418065,False,Not equivalent
0.7,482,2.0,8.140574412884279,0.8458680440741028,7.294706368810177,6.9728294714165795,7.616583266203774,1.0,False,nocturnal_hbgi,6.4692729873015224,8.095228677389217,False,Not equivalent
0.7,482,1.0,1.2455768892860166,1.6233872325887329,-0.3778103433027164,-0.6646522211852502,-0.09096846542018255,0.00019298612630214151,True,dawn_lbgi,-1.6315767204677867,0.6774153336619686,False,Not robust
0.7,482,2.0,7.20084210172981,2.0859376221391845,5.114904479590627,4.7903105703140945,5.439498388867159,1.0,False,dawn_hbgi,4.3385733356045995,5.889308901300726,False,Not equivalent
0.8,394,1.0,1.050678547262983,1.9969376560752754,-0.9462591088122925,-1.1914475876104325,-0.7010706300141524,0.35900700540279695,False,nocturnal_lbgi,-1.7659493436076483,-0.2879951635842593,False,Not equivalent
0.8,394,2.0,7.877722746804704,0.7816792904356583,7.0960434563690455,6.749559114894472,7.442527797843619,1.0,False,nocturnal_hbgi,6.271283935284706,7.887543316977303,False,Not equivalent
0.8,394,1.0,1.215819772570082,1.4847484048804716,-0.2689286323103894,-0.5666224217560458,0.02876515713526706,3.099420149654808e-05,True,dawn_lbgi,-1.4487946078120602,0.6840034569965003,False,Not robust
0.8,394,2.0,6.941822603219606,2.0588369395783843,4.882985663641222,4.539752229025215,5.2262190982572285,1.0,False,dawn_hbgi,4.140107103504701,5.6016167497715585,False,Not equivalent
0.9,247,1.0,0.9926108774444253,2.0629327331075094,-1.0703218556630838,-1.4119027569472085,-0.7287409543789592,0.6328924258167552,False,nocturnal_lbgi,-1.928953030094861,-0.41133192883596714,False,Not equivalent
0.9,247,2.0,7.524675134490728,0.6788755786257642,6.8457995558649625,6.421331425371559,7.270267686358366,1.0,False,nocturnal_hbgi,6.093213222570795,7.603255405623339,False,Not equivalent
0.9,247,1.0,1.1606209705897166,1.4504186186303063,-0.28979764804059,-0.687278145553466,0.10768284947228607,0.0017417316878999278,True,dawn_lbgi,-1.4065682020738712,0.5795405450692099,False,Not robust
0.9,247,2.0,6.690453965806809,1.963950093758351,4.726503872048459,4.302410008227327,5.150597735869591,1.0,False,dawn_hbgi,4.085150614756817,5.426765665022092,False,Not equivalent
